IDTNS;TIPO;OPERADORA;ESTADO;DATA;ANO_BASE;Q1;Q2;Q2_1;Q2_2;Q3;Q4;Q5;Q6;Q7;Q7a;Q8;J1;B1_1;B1_2;C1_1;C1_2;C1_3;D1_1;D1_2;A1_1;A1_2;A1_3;A1_4;A2_1;A2_2;A2_3;A3;A4;E1;E2;E3;E4;E5;E6;E7;E8;F1;F2_1;F2_2;F2_3;F3;F4_1;F4_2;F4_3;G1;G2_1;G2_2;G2_3;H0;COD_IBGE;H1;H2;H2a;H3;I1;I2;PESO
61433;BANDA-LARGA;CLARO/NET;ES;16/jul/20;2020;1;;2;2;1;1;1;1;76;9;2;6;6;6;8;5;6;10;10;;;;97;;;;;;2;;2;;2;;2;;2;;;;2;;;;;2;1;2;VILA VELHA;3205200;99;999997;99;7;3;;0,630163929
234054;BANDA-LARGA;CLARO/NET;SP;16/jul/20;2020;1;;2;2;1;1;2;1;63;8;1;8;5;5;9;9;8;6;6;1;2;;;6;6;6;6;5;1;0;2;;2;;2;;2;;;;2;;;;;1;1;1;SÃO PAULO;3550308;2;3000;2;7;1;;19,63292645
235004;BANDA-LARGA;CLARO/NET;SP;16/jul/20;2020;1;;2;2;1;1;1;1;56;8;2;0;0;0;1;1;0;0;2;;2;;;;;;;0;2;;1;2;1;0;1;5;2;;;;1;7;7;9;;1;1;1;SÃO BERNARDO DO CAMPO;3548708;2;10000;4;7;1;;19,63292645
429370;BANDA-LARGA;OI;DF;16/jul/20;2020;1;;2;2;1;1;1;1;52;8;1;10;10;10;10;10;10;10;10;1;;3;;10;10;10;10;;1;10;2;;1;10;1;10;2;;;;2;;;;;1;1;1;BRASÍLIA;5300108;1;1300;1;2;1;;0,437668628
579712;BANDA-LARGA;OI;RN;16/jul/20;2020;1;;2;2;1;1;1;1;53;8;1;5;10;0;0;10;0;7;10;;;;97;;;;;;1;10;2;;2;;2;;2;;;;1;10;7;10;;2;2;1;NATAL;2408102;1;1040;1;2;3;;0,093547923
661647;BANDA-LARGA;SERCOMTEL;PR;16/jul/20;2020;1;;2;2;1;1;1;1;56;8;1;8;8;9;7;8;6;5;7;1;2;;;7;8;8;6;10;1;9;1;8;1;7;1;7;2;;;;2;;;;;2;1;1;ARAPONGAS;4101507;1;999997;99;99;3;;0,302190147
672481;BANDA-LARGA;SKY;AM;16/jul/20;2020;1;;2;2;1;1;1;1;37;6;1;0;5;5;0;5;0;5;5;;2;;;;;;;5;1;10;2;;1;5;1;5;2;;;;2;;;;;2;2;2;MANAUS;1302603;2;1045;1;3;1;;0,133954269
772822;BANDA-LARGA;TIM;AM;16/jul/20;2020;1;;2;2;1;1;1;1;64;8;2;7;9;6;8;8;4;10;10;1;;;;7;6;7;7;;2;;2;;1;5;1;3;2;;;;1;8;8;3;;2;2;1;MANAUS;1302603;3;20000;5;7;1;;0,088639026
783971;BANDA-LARGA;TIM;BA;16/jul/20;2020;1;;2;2;1;1;1;1;40;6;1;6;7;7;8;8;8;7;7;1;;;;7;6;7;7;;1;7;2;;2;;1;7;2;;;;1;6;6;7;;2;2;1;SALVADOR;2927408;1;999998;98;5;1;;0,148083294
823897;BANDA-LARGA;UNIFIQUE;SC;16/jul/20;2020;1;;2;2;1;1;1;1;29;4;1;8;10;10;9;9;9;10;10;1;;;;5;9;10;10;;2;;1;10;2;;1;10;2;;;;2;;;;;2;2;1;GUABIRUBA;4206306;2;3000;2;5;1;;1,803466277
835915;BANDA-LARGA;VIVO;BA;16/jul/20;2020;1;;2;2;1;1;2;1;28;4;1;5;7;3;5;4;4;8;8;1;2;;;0;3;8;2;2;1;5;2;;2;;1;5;2;;;;1;9;10;5;;2;2;1;CAMAÇARI;2905701;2;5000;3;5;1;;0,668020487
895064;BANDA-LARGA;VIVO;MS;16/jul/20;2020;1;;2;2;1;1;1;1;65;8;1;10;9;9;9;10;8;10;9;1;2;3;;7;10;10;10;8;2;;2;;2;;2;;2;;;;1;7;9;8;;2;1;1;CAMPO GRANDE;5002704;2;1200;1;5;3;;0,394052503
391601;BANDA-LARGA;OI;AM;17/jul/20;2020;1;;2;2;1;1;1;1;29;4;1;2;10;9;8;8;8;7;9;1;;;;10;8;10;10;;1;10;2;;2;;1;10;2;;;;1;8;8;10;;2;2;1;MANAUS;1302603;1;3000;2;7;1;;0,087477352
405044;BANDA-LARGA;OI;BA;17/jul/20;2020;1;;2;2;1;1;1;1;50;7;1;7;0;0;0;0;0;10;10;1;;;;0;10;0;0;;1;0;2;;1;0;1;0;2;;;;2;;;;;2;2;1;SALVADOR;2927408;1;4600;3;7;1;;0,859429588
416964;BANDA-LARGA;OI;CE;17/jul/20;2020;1;;2;2;1;1;1;1;26;4;2;3;4;0;3;1;1;0;8;1;2;3;;0;0;4;5;6;1;0;2;;2;;1;0;2;;;;1;5;10;3;;2;1;1;CAUCAIA;2303709;1;3000;2;7;1;;0,253532134
484068;BANDA-LARGA;OI;MS;17/jul/20;2020;1;;2;2;1;1;1;1;72;9;1;6;8;8;7;8;7;10;8;1;;;;7;8;9;8;;2;;2;;2;;2;;2;;;;2;;;;;2;2;1;LADÁRIO;5005202;1;999997;99;5;1;;0,515743188
494390;BANDA-LARGA;OI;MT;17/jul/20;2020;1;;2;2;1;1;1;1;44;7;1;9;9;9;8;9;8;10;9;1;;;;8;9;9;9;;2;;2;;2;;1;9;2;;;;1;10;10;10;;2;2;1;MIRASSOL DOESTE;5105622;1;2000;1;5;1;;0,539319816
758823;BANDA-LARGA;SKY;SP;17/jul/20;2020;1;;2;2;1;1;1;1;47;7;2;7;6;8;8;9;9;10;8;1;;3;;7;8;10;8;;1;9;1;8;1;8;2;;2;;;;2;;;;;2;2;2;MOGI DAS CRUZES;3530607;2;1100;1;2;1;;0,078931727
772676;BANDA-LARGA;TIM;AM;17/jul/20;2020;1;;2;2;1;1;1;1;37;6;2;5;10;10;5;5;10;10;0;1;;;;10;10;10;10;;1;10;1;10;2;;1;5;2;;;;1;10;10;10;;2;2;2;MANAUS;1302603;1;5000;3;9;1;;0,088639026
794724;BANDA-LARGA;TIM;GO;17/jul/20;2020;1;;2;2;1;1;1;1;53;8;2;8;8;8;7;7;7;10;7;1;2;;;7;7;9;9;6;2;;2;;2;;1;8;2;;;;1;9;10;10;;1;2;1;APARECIDA DE GOIÂNIA;5201405;2;13000;5;9;1;;0,239904845
804747;BANDA-LARGA;TIM;RJ;17/jul/20;2020;1;;2;2;1;1;1;1;60;8;2;10;8;10;10;10;8;10;99;1;;;;7;10;10;10;;1;10;2;;1;1;2;;2;;;;2;;;;;2;2;2;RIO DE JANEIRO;3304557;1;1600;1;5;1;;1,162629684
846830;BANDA-LARGA;VIVO;CE;17/jul/20;2020;1;;2;2;1;1;1;1;59;8;2;10;8;9;10;10;5;3;3;1;;;;10;10;10;9;;2;;1;9;2;;1;10;1;10;10;10;1;8;10;10;;2;1;1;CAUCAIA;2303709;2;7000;4;6;1;;0,665984413
895396;BANDA-LARGA;VIVO;MS;17/jul/20;2020;1;;2;2;1;1;2;1;19;3;1;7;8;7;6;6;8;6;8;;;3;;;;;;;2;;2;;2;;2;;2;;;;2;;;;;2;2;1;CAMPO GRANDE;5002704;2;8000;4;5;1;;0,394052503
895692;BANDA-LARGA;VIVO;MS;17/jul/20;2020;1;;2;2;1;1;2;1;65;8;1;10;10;10;10;10;10;10;10;1;2;;;10;10;10;10;10;2;;1;10;2;;2;;2;;;;1;10;10;10;;2;1;1;CAMPO VERDE;5102678;2;999997;99;3;1;;0,394052503
