OPERADORA,ESTADO,Q5,Q7,Q7a,Q8,J1,B1_1,B1_2,C1_1,C1_2,C1_3,D1_1,D1_2,A1_1,A2_1,A2_2,A2_3,A3,E7,E8,F3,F4_1,F4_2,F4_3,G2_1,G2_2,G2_3,H1,H2,H2a,PESO,Operadoras,Estados,Churn
CLARO/NET,ES,1,76,9,2,6,6,6,8,5,6,10,10,99,99,99,99,99,2,99,2,99,99,99,2,1,2,99,999998,99,"0,630163929",2,6,0
CLARO/NET,SP,2,63,8,1,8,5,5,9,9,8,6,6,1.0,6.0,6.0,6.0,6.0,2,99,2,99,99,99,1,1,1,2,3000,2,"19,63292645",2,24,0
CLARO/NET,SP,1,56,8,2,0,0,0,1,1,0,0,2,99,99,99,99,99,1,5.0,1,7.0,7.0,9.0,1,1,1,2,10000,4,"19,63292645",2,24,1
OI,DF,1,52,8,1,10,10,10,10,10,10,10,10,1.0,10.0,10.0,10.0,10.0,1,10.0,2,99,99,99,1,1,1,1,1300,1,"0,437668628",4,5,0
OI,RN,1,53,8,1,5,10,0,0,10,0,7,10,99,99,99,99,99,2,99,1,10.0,7.0,10.0,2,2,1,1,1040,1,"0,093547923",4,18,0
SERCOMTEL,PR,1,56,8,1,8,8,9,7,8,6,5,7,1.0,7.0,8.0,8.0,6.0,1,7.0,2,99,99,99,2,1,1,1,999998,99,"0,302190147",5,16,0
SKY,AM,1,37,6,1,0,5,5,0,5,0,5,5,99,99,99,99,99,1,5.0,2,99,99,99,2,2,2,2,1045,1,"0,133954269",6,2,1
TIM,AM,1,64,8,2,7,9,6,8,8,4,10,10,1.0,7.0,6.0,7.0,7.0,1,3.0,1,8.0,8.0,3.0,2,2,1,3,20000,5,"0,088639026",7,2,0
TIM,BA,1,40,6,1,6,7,7,8,8,8,7,7,1.0,7.0,6.0,7.0,7.0,1,7.0,1,6.0,6.0,7.0,2,2,1,1,999998,99,"0,148083294",7,3,0
UNIFIQUE,SC,1,29,4,1,8,10,10,9,9,9,10,10,1.0,5.0,9.0,10.0,10.0,1,10.0,2,99,99,99,2,2,1,2,3000,2,"1,803466277",8,22,0
VIVO,BA,2,28,4,1,5,7,3,5,4,4,8,8,1.0,0.0,3.0,8.0,2.0,1,5.0,1,9.0,10.0,5.0,2,2,1,2,5000,3,"0,668020487",9,3,0
VIVO,MS,1,65,8,1,10,9,9,9,10,8,10,9,1.0,7.0,10.0,10.0,10.0,2,99,1,7.0,9.0,8.0,2,1,1,2,1200,1,"0,394052503",9,10,0
OI,AM,1,29,4,1,2,10,9,8,8,8,7,9,1.0,10.0,8.0,10.0,10.0,1,10.0,1,8.0,8.0,10.0,2,2,1,1,3000,2,"0,087477352",4,2,1
OI,BA,1,50,7,1,7,0,0,0,0,0,10,10,1.0,0.0,10.0,0.0,0.0,1,0.0,2,99,99,99,2,2,1,1,4600,3,"0,859429588",4,3,0
OI,CE,1,26,4,2,3,4,0,3,1,1,0,8,1.0,0.0,0.0,4.0,5.0,1,0.0,1,5.0,10.0,3.0,2,1,1,1,3000,2,"0,253532134",4,4,1
OI,MS,1,72,9,1,6,8,8,7,8,7,10,8,1.0,7.0,8.0,9.0,8.0,2,99,2,99,99,99,2,2,1,1,999998,99,"0,515743188",4,10,0
OI,MT,1,44,7,1,9,9,9,8,9,8,10,9,1.0,8.0,9.0,9.0,9.0,1,9.0,1,10.0,10.0,10.0,2,2,1,1,2000,1,"0,539319816",4,11,0
SKY,SP,1,47,7,2,7,6,8,8,9,9,10,8,1.0,7.0,8.0,10.0,8.0,2,99,2,99,99,99,2,2,2,2,1100,1,"0,078931727",6,24,0
TIM,AM,1,37,6,2,5,10,10,5,5,10,10,0,1.0,10.0,10.0,10.0,10.0,1,5.0,1,10.0,10.0,10.0,2,2,2,1,5000,3,"0,088639026",7,2,0
TIM,GO,1,53,8,2,8,8,8,7,7,7,10,7,1.0,7.0,7.0,9.0,9.0,1,8.0,1,9.0,10.0,10.0,1,2,1,2,13000,5,"0,239904845",7,7,0
